Student Name,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
BX,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,0.0,33.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,
BZ,1.0,1.0,1.0,1.0,2.0,1.0,40.0,25.0,10.0,25.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,
C,3.0,3.0,3.0,3.0,3.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
CA,2.0,2.0,2.0,3.0,3.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
CC,2.0,3.0,3.0,2.0,2.0,2.0,30.0,20.0,30.0,20.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,2.0,,
CD,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,
D,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
E,1.0,1.0,1.0,1.0,3.0,1.0,23.0,31.0,23.0,23.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
F,2.0,,2.0,3.0,5.0,3.0,19.0,29.0,26.0,26.0,,,5.0,2.0,2.0,2.0,,,1.0,3.0,2.0,2.0,,,5.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,
G,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
H,1.0,1.0,1.0,2.0,2.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
I,1.0,1.0,1.0,1.0,1.0,1.0,22.0,26.0,26.0,26.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
J,1.0,2.0,1.0,2.0,2.0,1.0,20.0,20.0,30.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
