Student Name,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
AJ,1.0,1.0,1.0,1.0,2.0,1.0,28.0,27.0,15.0,30.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
AK,2.0,2.0,2.0,2.0,3.0,2.0,25.0,25.0,20.0,30.0,,,2.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,
AM,2.0,3.0,3.0,1.0,2.0,1.0,23.0,28.0,26.0,23.0,,,3.0,2.0,3.0,5.0,,,2.0,2.0,2.0,4.0,,,2.0,1.0,2.0,2.0,,,2.0,3.0,2.0,3.0,,
AN,2.0,3.0,2.0,1.0,2.0,2.0,25.0,25.0,25.0,25.0,,,4.0,2.0,2.0,4.0,,,3.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
AO,1.0,2.0,2.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AP,2.0,1.0,1.0,2.0,1.0,1.0,23.0,23.0,23.0,31.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AQ,2.0,1.0,1.0,1.0,2.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AR,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AS,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AU,3.0,3.0,2.0,3.0,2.0,2.0,25.0,23.0,29.0,23.0,,,2.0,5.0,2.0,5.0,,,3.0,2.0,2.0,2.0,,,2.0,3.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,
