,Student Name,TeamNumber,TeammateNumber,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
57,BI,17,2,2.0,2.0,3.0,3.0,4.0,3.0,30.0,35.0,0.0,35.0,,,3.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,
58,BK,17,4,2.0,2.0,2.0,1.0,2.0,1.0,30.0,35.0,0.0,35.0,,,1.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,,2.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,
59,BL,18,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BN,18,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
61,BO,18,4,2.0,3.0,2.0,3.0,3.0,2.0,30.0,,40.0,30.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
62,BP,19,1,1.0,1.0,1.0,1.0,2.0,1.0,20.0,20.0,30.0,30.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
63,BQ,19,2,2.0,2.0,2.0,2.0,4.0,3.0,20.0,20.0,30.0,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
64,BR,19,3,1.0,2.0,1.0,1.0,2.0,2.0,22.0,23.0,25.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
65,BS,19,4,2.0,2.0,1.0,1.0,2.0,2.0,15.0,20.0,30.0,35.0,,,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
66,BT,20,1,1.0,,,1.0,1.0,1.0,20.0,40.0,40.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,
67,BU,20,2,2.0,2.0,2.0,2.0,2.0,2.0,33.3,33.3,33.3,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,
68,BV,20,3,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,34.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
69,BW,21,1,1.0,1.0,1.0,1.0,2.0,1.0,50.0,25.0,0.0,25.0,,,1.0,2.0,7.0,2.0,,,1.0,1.0,7.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,2.0,4.0,2.0,,
70,BX,21,2,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,0.0,33.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,
71,BZ,21,4,1.0,1.0,1.0,1.0,2.0,1.0,40.0,25.0,10.0,25.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,
72,CA,22,1,2.0,2.0,2.0,3.0,3.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
73,CD,22,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,
74,CC,22,4,2.0,3.0,3.0,2.0,2.0,2.0,30.0,20.0,30.0,20.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,2.0,,
